Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex39.yaml,18.75,11,83,83,12,12,3.824842929840088,0.054856300354003906
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex45.yaml,18.75,11,71,71,12,10,2.760685682296753,0.04488110542297363
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex46.yaml,18.75,11,69,71,10,12,0.5984342098236084,0.0438847541809082
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex54.yaml,18.75,11,83,91,12,14,1.0941202640533447,0.05286049842834473
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex74.yaml,18.75,11,62,62,12,10,0.22139263153076172,0.03590512275695801
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex79.yaml,18.75,11,75,79,12,15,6.37313175201416,0.04585838317871094
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex8.yaml,18.75,11,73,74,9,13,5.292073965072632,0.04687666893005371
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex83.yaml,18.75,11,67,71,11,11,0.7609624862670898,0.04488086700439453
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex9.yaml,18.75,11,56,54,10,10,0.03789925575256348,0.03789949417114258
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex91.yaml,18.75,11,72,66,12,10,13.700924158096313,0.03989434242248535
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex92.yaml,18.75,11,78,66,11,10,0.10229611396789551,0.03989434242248535
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex95.yaml,18.75,11,90,89,11,11,12.783061027526855,0.05283999443054199
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex97.yaml,18.75,11,92,94,12,13,6.829881429672241,0.053836822509765625
.\benchmark\8x8_obst12\map_8by8_obst12_agents11_ex99.yaml,18.75,11,75,87,13,16,6.309787750244141,0.04091382026672363
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex12.yaml,18.75,12,80,83,11,11,0.9604349136352539,0.05186176300048828
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex18.yaml,18.75,12,83,79,12,12,11.623203039169312,0.05684852600097656
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex42.yaml,18.75,12,74,78,14,14,4.352465867996216,0.051862239837646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex6.yaml,18.75,12,80,82,12,12,10.53862452507019,0.049868106842041016
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex70.yaml,18.75,12,75,74,11,11,0.5385966300964355,0.06083822250366211
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex74.yaml,18.75,12,72,70,12,12,5.168597459793091,0.051862239837646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents12_ex78.yaml,18.75,12,78,81,9,10,0.21243548393249512,0.052863121032714844
