Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex34.yaml,18.75,2,9,9,7,7,0.002992391586303711,0.0009968280792236328
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex35.yaml,18.75,2,11,11,8,8,0.0019927024841308594,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex36.yaml,18.75,2,9,9,7,7,0.0009965896606445312,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex37.yaml,18.75,2,23,23,15,15,0.007977962493896484,0.0039904117584228516
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex38.yaml,18.75,2,12,12,6,6,0.0010178089141845703,0.002991914749145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex39.yaml,18.75,2,15,15,9,9,0.0029926300048828125,0.002992391586303711
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex4.yaml,18.75,2,10,10,6,6,0.0009951591491699219,0.0019745826721191406
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex40.yaml,18.75,2,15,13,11,9,0.017933130264282227,0.001993894577026367
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex41.yaml,18.75,2,11,11,7,7,0.0019958019256591797,0.0019960403442382812
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex42.yaml,18.75,2,15,15,8,8,0.000997304916381836,0.00299072265625
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex43.yaml,18.75,2,13,13,10,10,0.0009970664978027344,0.002992391586303711
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex44.yaml,18.75,2,17,17,11,11,0.0020151138305664062,0.00299072265625
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex45.yaml,18.75,2,12,12,7,7,0.03889727592468262,0.001993417739868164
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex46.yaml,18.75,2,17,17,12,12,0.003012418746948242,0.001973867416381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex47.yaml,18.75,2,14,14,7,7,0.0019948482513427734,0.001995563507080078
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex48.yaml,18.75,2,12,12,7,7,0.0019948482513427734,0.001974344253540039
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex49.yaml,18.75,2,14,14,10,10,0.0019948482513427734,0.0019943714141845703
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex5.yaml,18.75,2,13,13,8,8,0.0009968280792236328,0.0020151138305664062
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex50.yaml,18.75,2,12,12,7,7,0.0009970664978027344,0.0019936561584472656
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex51.yaml,18.75,2,10,10,8,8,0.000997304916381836,0.0020148754119873047
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex52.yaml,18.75,2,15,15,9,9,0.000997304916381836,0.0019953250885009766
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex53.yaml,18.75,2,16,16,9,9,0.0019941329956054688,0.0020143985748291016
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex54.yaml,18.75,2,10,16,9,9,0.0010197162628173828,0.0020143985748291016
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex55.yaml,18.75,2,13,13,7,7,0.0029921531677246094,0.0019936561584472656
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex56.yaml,18.75,2,12,12,8,8,0.001994609832763672,0.0019953250885009766
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex57.yaml,18.75,2,24,24,15,15,0.0029926300048828125,0.002972841262817383
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex58.yaml,18.75,2,11,11,6,6,0.000997304916381836,0.001995563507080078
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex59.yaml,18.75,2,13,13,8,8,0.000997304916381836,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex6.yaml,18.75,2,9,13,8,8,0.0009775161743164062,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex60.yaml,18.75,2,10,10,7,7,0.0009963512420654297,0.001994609832763672
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex61.yaml,18.75,2,20,20,12,12,0.012984752655029297,0.001973867416381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex62.yaml,18.75,2,14,14,9,9,0.002989053726196289,0.0019943714141845703
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex63.yaml,18.75,2,14,14,9,9,0.000997781753540039,0.001973867416381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex64.yaml,18.75,2,12,12,7,6,0.0049669742584228516,0.001974821090698242
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex65.yaml,18.75,2,7,7,5,5,0.0,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex66.yaml,18.75,2,12,12,7,7,0.0009958744049072266,0.0019941329956054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex67.yaml,18.75,2,10,10,7,7,0.0010175704956054688,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex68.yaml,18.75,2,15,15,10,10,0.0009970664978027344,0.0019979476928710938
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex69.yaml,18.75,2,8,15,7,10,0.000997781753540039,0.0019979476928710938
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex7.yaml,18.75,2,9,9,7,7,0.0,0.0009946823120117188
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex70.yaml,18.75,2,8,8,4,4,0.0,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex71.yaml,18.75,2,19,19,10,10,0.0029931068420410156,0.002991914749145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex72.yaml,18.75,2,12,12,7,7,0.0009982585906982422,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex73.yaml,18.75,2,19,17,13,11,0.013965129852294922,0.002972126007080078
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex74.yaml,18.75,2,16,16,9,9,0.0009970664978027344,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex75.yaml,18.75,2,17,17,10,10,0.001995563507080078,0.002992391586303711
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex76.yaml,18.75,2,8,8,6,6,0.0029938220977783203,0.0009975433349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex77.yaml,18.75,2,7,7,4,4,0.001016855239868164,0.0009770393371582031
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex78.yaml,18.75,2,16,16,9,9,0.0019941329956054688,0.0019969940185546875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex79.yaml,18.75,2,20,20,14,14,0.003991365432739258,0.0019941329956054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex8.yaml,18.75,2,13,13,9,9,0.0009970664978027344,0.001981019973754883
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex80.yaml,18.75,2,16,16,9,9,0.0039844512939453125,0.0019941329956054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex81.yaml,18.75,2,11,11,9,9,0.005986690521240234,0.0019936561584472656
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex82.yaml,18.75,2,14,14,8,8,0.0009975433349609375,0.0019807815551757812
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex83.yaml,18.75,2,13,13,10,10,0.001991748809814453,0.002015352249145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex84.yaml,18.75,2,20,20,17,17,0.008955240249633789,0.002991914749145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex85.yaml,18.75,2,19,19,11,11,0.0019953250885009766,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex86.yaml,18.75,2,15,15,9,9,0.001993894577026367,0.001993417739868164
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex87.yaml,18.75,2,12,12,10,10,0.0019707679748535156,0.0019948482513427734
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex88.yaml,18.75,2,13,13,7,7,0.0029921531677246094,0.0019943714141845703
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex89.yaml,18.75,2,13,13,8,8,0.0009975433349609375,0.0019943714141845703
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex9.yaml,18.75,2,10,10,8,8,0.000997781753540039,0.0009980201721191406
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex90.yaml,18.75,2,15,15,10,10,0.002992868423461914,0.001972198486328125
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex91.yaml,18.75,2,6,6,4,4,0.0009987354278564453,0.00200653076171875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex92.yaml,18.75,2,12,12,7,7,0.003988504409790039,0.001995563507080078
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex93.yaml,18.75,2,7,7,4,4,0.0,0.0019750595092773438
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex94.yaml,18.75,2,12,12,8,8,0.0009963512420654297,0.0019965171813964844
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex95.yaml,18.75,2,10,10,5,5,0.0009970664978027344,0.001974344253540039
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex96.yaml,18.75,2,13,13,11,11,0.003989219665527344,0.001992940902709961
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex97.yaml,18.75,2,17,17,10,10,0.0029921531677246094,0.001993894577026367
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex98.yaml,18.75,2,18,18,12,12,0.0049860477447509766,0.001993894577026367
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex99.yaml,18.75,2,19,19,14,14,0.01094508171081543,0.0029714107513427734
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex0.yaml,18.75,3,17,17,8,8,0.0009980201721191406,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex1.yaml,18.75,3,14,14,6,6,0.0010175704956054688,0.00399017333984375
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex10.yaml,18.75,3,21,19,13,11,0.022938251495361328,0.003989458084106445
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex11.yaml,18.75,3,24,24,8,8,0.0019724369049072266,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex12.yaml,18.75,3,17,17,8,8,0.005983591079711914,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex13.yaml,18.75,3,20,19,9,9,0.01897287368774414,0.003989696502685547
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex14.yaml,18.75,3,24,24,10,10,0.001995563507080078,0.004966259002685547
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex15.yaml,18.75,3,25,25,9,9,0.001974344253540039,0.004987239837646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex16.yaml,18.75,3,27,28,11,12,0.003013134002685547,0.004986286163330078
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex17.yaml,18.75,3,16,16,8,8,0.000997304916381836,0.0019958019256591797
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex19.yaml,18.75,3,26,16,15,8,0.015937328338623047,0.0019958019256591797
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex2.yaml,18.75,3,21,21,8,8,0.001973390579223633,0.003972291946411133
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex21.yaml,18.75,3,28,27,12,10,0.05385398864746094,0.004988670349121094
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex22.yaml,18.75,3,18,18,9,9,0.003989458084106445,0.0029916763305664062
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex23.yaml,18.75,3,9,9,3,3,0.0009770393371582031,0.001974821090698242
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex24.yaml,18.75,3,13,13,7,7,0.0029947757720947266,0.0029904842376708984
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex25.yaml,18.75,3,21,22,8,8,0.001993417739868164,0.005963802337646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex26.yaml,18.75,3,14,14,6,7,0.0029935836791992188,0.002991914749145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex27.yaml,18.75,3,14,14,7,7,0.000997304916381836,0.002992868423461914
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex28.yaml,18.75,3,21,21,12,12,0.00696110725402832,0.0049860477447509766
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex29.yaml,18.75,3,14,14,6,6,0.0009768009185791016,0.0029931068420410156
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex3.yaml,18.75,3,16,16,6,6,0.0009765625,0.0029914379119873047
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex30.yaml,18.75,3,26,28,10,11,0.025911569595336914,0.004987239837646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex31.yaml,18.75,3,20,18,11,9,0.018972158432006836,0.003966093063354492
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex32.yaml,18.75,3,29,29,13,13,0.003987550735473633,0.005984067916870117
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex33.yaml,18.75,3,21,21,11,11,0.0029935836791992188,0.0029921531677246094
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex34.yaml,18.75,3,19,19,8,8,0.0009980201721191406,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex35.yaml,18.75,3,27,27,12,12,0.008971929550170898,0.004987001419067383
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex36.yaml,18.75,3,13,27,9,12,0.0,0.004987001419067383
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex37.yaml,18.75,3,15,15,6,6,0.0009984970092773438,0.0039904117584228516
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex38.yaml,18.75,3,24,24,15,15,0.03789806365966797,0.0029954910278320312
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex39.yaml,18.75,3,18,19,7,7,0.0009980201721191406,0.004009246826171875
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex4.yaml,18.75,3,28,28,11,11,0.003989458084106445,0.00498652458190918
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex40.yaml,18.75,3,29,29,11,11,0.0029916763305664062,0.004985809326171875
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex41.yaml,18.75,3,28,28,13,13,0.021943330764770508,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex42.yaml,18.75,3,18,18,8,8,0.000997304916381836,0.0035843849182128906
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex43.yaml,18.75,3,25,25,9,9,0.0029921531677246094,0.003989458084106445
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex44.yaml,18.75,3,23,23,11,11,0.001994609832763672,0.00500941276550293
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex45.yaml,18.75,3,20,20,13,13,0.002991199493408203,0.0029926300048828125
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex46.yaml,18.75,3,15,20,9,13,0.0009965896606445312,0.0029926300048828125
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex47.yaml,18.75,3,22,22,11,11,0.006979703903198242,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex48.yaml,18.75,3,30,30,11,12,0.027925491333007812,0.005005836486816406
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex49.yaml,18.75,3,18,18,8,8,0.002019643783569336,0.0039904117584228516
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex5.yaml,18.75,3,9,9,4,4,0.0,0.0029726028442382812
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex50.yaml,18.75,3,19,19,8,8,0.000997304916381836,0.00399470329284668
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex51.yaml,18.75,3,23,23,10,10,0.0059850215911865234,0.005005836486816406
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex52.yaml,18.75,3,27,27,12,12,0.004987239837646484,0.00498652458190918
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex53.yaml,18.75,3,26,26,13,13,0.008955955505371094,0.005982637405395508
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex54.yaml,18.75,3,20,20,10,10,0.003968954086303711,0.004984140396118164
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex55.yaml,18.75,3,26,33,10,18,0.007978677749633789,0.003970146179199219
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex56.yaml,18.75,3,21,21,9,9,0.002989053726196289,0.003988981246948242
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex57.yaml,18.75,3,18,18,10,10,0.000997304916381836,0.002992391586303711
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex58.yaml,18.75,3,25,25,10,10,0.008484601974487305,0.004985809326171875
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex59.yaml,18.75,3,19,19,8,8,0.0009970664978027344,0.002996206283569336
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex6.yaml,18.75,3,19,19,10,10,0.001991748809814453,0.003966808319091797
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex60.yaml,18.75,3,13,13,7,7,0.0009953975677490234,0.002991199493408203
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex61.yaml,18.75,3,26,26,11,11,0.002992868423461914,0.004986763000488281
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex62.yaml,18.75,3,21,21,10,10,0.0020024776458740234,0.004990577697753906
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex63.yaml,18.75,3,21,21,10,10,0.011947870254516602,0.0039904117584228516
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex64.yaml,18.75,3,15,15,6,6,0.0029900074005126953,0.0039844512939453125
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex65.yaml,18.75,3,23,23,10,10,0.001994609832763672,0.003989458084106445
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex66.yaml,18.75,3,19,19,8,8,0.0009963512420654297,0.003988504409790039
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex67.yaml,18.75,3,24,24,11,11,0.0029921531677246094,0.004987001419067383
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex68.yaml,18.75,3,23,23,10,10,0.001994609832763672,0.004985332489013672
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex69.yaml,18.75,3,15,15,10,10,0.003991842269897461,0.0029685497283935547
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex7.yaml,18.75,3,14,14,5,5,0.000997304916381836,0.0029931068420410156
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex70.yaml,18.75,3,21,23,10,10,0.019947528839111328,0.00496673583984375
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex71.yaml,18.75,3,33,31,14,12,0.14561200141906738,0.005983114242553711
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex72.yaml,18.75,3,23,22,12,12,0.03390836715698242,0.003989458084106445
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex73.yaml,18.75,3,20,20,10,10,0.00598454475402832,0.004987478256225586
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex74.yaml,18.75,3,22,22,9,9,0.000997781753540039,0.003988981246948242
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex75.yaml,18.75,3,8,8,3,3,0.0009965896606445312,0.001973867416381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex76.yaml,18.75,3,14,14,9,9,0.0019948482513427734,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex77.yaml,18.75,3,11,11,4,4,0.0009975433349609375,0.0019936561584472656
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex78.yaml,18.75,3,20,20,9,9,0.0009975433349609375,0.004988193511962891
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex79.yaml,18.75,3,22,23,9,9,0.028923988342285156,0.003989696502685547
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex8.yaml,18.75,3,19,17,11,9,0.008955001831054688,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex80.yaml,18.75,3,17,17,8,8,0.0029926300048828125,0.002991914749145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex81.yaml,18.75,3,18,16,11,9,0.016954421997070312,0.002990245819091797
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex82.yaml,18.75,3,21,21,8,8,0.0019948482513427734,0.0029921531677246094
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex83.yaml,18.75,3,25,25,13,13,0.008976221084594727,0.0055391788482666016
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex84.yaml,18.75,3,19,20,8,8,0.0009968280792236328,0.003989219665527344
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex85.yaml,18.75,3,26,26,13,13,0.011947870254516602,0.0039708614349365234
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex86.yaml,18.75,3,24,24,10,10,0.0019969940185546875,0.005983829498291016
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex87.yaml,18.75,3,28,28,12,12,0.005984306335449219,0.00598597526550293
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex88.yaml,18.75,3,21,21,10,10,0.001995563507080078,0.003989458084106445
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex89.yaml,18.75,3,29,29,13,13,0.009974241256713867,0.0049669742584228516
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex9.yaml,18.75,3,19,19,8,8,0.001995086669921875,0.003991365432739258
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex90.yaml,18.75,3,22,22,10,10,0.002992868423461914,0.0039899349212646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex91.yaml,18.75,3,18,19,7,8,0.006981611251831055,0.003969907760620117
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex92.yaml,18.75,3,13,13,6,6,0.000997781753540039,0.002990245819091797
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex93.yaml,18.75,3,26,24,12,10,0.02892327308654785,0.003988981246948242
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex94.yaml,18.75,3,23,23,10,10,0.01096963882446289,0.003988742828369141
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex95.yaml,18.75,3,30,28,14,14,0.05684971809387207,0.004990339279174805
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex96.yaml,18.75,3,27,27,10,10,0.0069811344146728516,0.004986286163330078
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex97.yaml,18.75,3,11,11,5,5,0.0,0.0029709339141845703
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex98.yaml,18.75,3,15,15,7,7,0.0029952526092529297,0.0039899349212646484
.\benchmark\8x8_obst12\map_8by8_obst12_agents3_ex99.yaml,18.75,3,20,20,8,8,0.0009970664978027344,0.003968954086303711
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex0.yaml,18.75,4,26,27,9,9,0.0019943714141845703,0.006981611251831055
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex1.yaml,18.75,4,30,30,10,10,0.0029954910278320312,0.007978677749633789
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex11.yaml,18.75,4,25,24,8,8,0.03191518783569336,0.004967212677001953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex12.yaml,18.75,4,35,35,10,10,0.003989219665527344,0.007956266403198242
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex13.yaml,18.75,4,35,35,15,15,0.04488182067871094,0.006979465484619141
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex14.yaml,18.75,4,30,30,11,11,0.0019936561584472656,0.007958650588989258
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex15.yaml,18.75,4,35,33,10,10,0.27780723571777344,0.007957696914672852
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex16.yaml,18.75,4,25,25,8,8,0.006981372833251953,0.006983041763305664
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex18.yaml,18.75,4,24,24,14,14,0.04488062858581543,0.005984306335449219
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex19.yaml,18.75,4,28,28,10,10,0.0029904842376708984,0.006980419158935547
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex2.yaml,18.75,4,39,39,12,12,0.033911705017089844,0.009954214096069336
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex20.yaml,18.75,4,38,39,10,10,0.03490614891052246,0.009972333908081055
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex23.yaml,18.75,4,31,31,10,10,0.012964963912963867,0.007959127426147461
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex24.yaml,18.75,4,16,16,4,4,0.0009925365447998047,0.00496673583984375
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex25.yaml,18.75,4,37,37,17,17,0.06480765342712402,0.008463382720947266
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex26.yaml,18.75,4,29,30,9,9,0.0020170211791992188,0.006003856658935547
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex27.yaml,18.75,4,27,25,10,10,0.09973406791687012,0.006981372833251953
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex28.yaml,18.75,4,26,22,11,9,0.05482983589172363,0.00698089599609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex29.yaml,18.75,4,31,31,11,11,0.009948492050170898,0.007978439331054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex3.yaml,18.75,4,32,32,13,13,0.015957117080688477,0.007978677749633789
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex32.yaml,18.75,4,25,25,9,9,0.0019948482513427734,0.007953882217407227
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex33.yaml,18.75,4,23,24,10,10,0.005982875823974609,0.005959272384643555
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex34.yaml,18.75,4,32,32,9,9,0.011947154998779297,0.00797891616821289
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex35.yaml,18.75,4,24,24,9,9,0.01196742057800293,0.006984233856201172
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex36.yaml,18.75,4,26,27,9,9,0.015976667404174805,0.00598454475402832
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex37.yaml,18.75,4,32,30,10,10,0.032889366149902344,0.006982326507568359
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex38.yaml,18.75,4,21,19,14,12,0.026927947998046875,0.006981611251831055
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex39.yaml,18.75,4,27,25,9,7,0.06382918357849121,0.007982730865478516
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex4.yaml,18.75,4,39,40,14,14,0.05833077430725098,0.009953737258911133
.\benchmark\8x8_obst12\map_8by8_obst12_agents4_ex40.yaml,18.75,4,38,38,12,12,0.03692221641540527,0.007957696914672852
